Title;RG30
Description;Dataset proposed in the paper Vanhoucke, M., Coelho, J., and Batselier, J. (2016). An overview of project data for integrated project management and control. Journal of Modern Project Management, 3(2):6–21.
Number;1800
Format;rcp
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
26;Set 1\Pat26.rcp;0;0;68;6;37263090;68;1;3600200;0;0;0;29;181;30;2,000;0,205;0,069;0,333;0,068;0,239;0,185;4;0,750;3,000;0,077;0,400;0;0,000;0,000;0,000;0,000;1,000
27;Set 1\Pat27.rcp;0;0;61;6;72000350;62;3;70;0;0;0;21;165;30;0,733;0,099;0,069;0,500;0,042;0,727;0,685;4;0,750;3,000;0,025;0,400;0;0,000;0,000;0,000;0,000;1,000
28;Set 1\Pat28.rcp;0;0;65;4;3600020;65;1;3600180;0;0;0;20;157;30;1,867;0,182;0,069;0,389;0,140;0,763;0,333;4;0,750;3,000;0,062;0,400;0;0,000;0,000;0,000;0,000;1,000
29;Set 1\Pat29.rcp;0;0;58;6;72000390;58;1;3600150;0;0;0;17;152;30;0,733;0,097;0,069;0,500;0,039;0,889;0,593;4;0,750;3,000;0,079;0,400;0;0,000;0,000;0,000;0,000;1,000
30;Set 1\Pat30.rcp;0;0;52;4;3600010;55;3;70;0;0;0;17;153;30;0,367;0,080;0,069;0,667;0,007;0,333;0,796;4;0,750;3,000;0,030;0,400;0;0,000;0,000;0,000;0,000;1,000
31;Set 1\Pat31.rcp;0;0;59;5;21000010;61;6;7000;0;0;0;19;157;30;0,500;0,085;0,069;0,611;0,030;0,833;0,741;4;0,750;3,000;0,039;0,400;0;0,000;0,000;0,000;0,000;1,000
32;Set 1\Pat32.rcp;0;0;54;1;91080;54;1;91080;54;1;91080;22;151;30;1,800;0,177;0,069;0,444;0,165;0,872;0,407;4;0,750;3,000;0,052;0,400;0;0,000;0,000;0,000;0,000;1,000
33;Set 1\Pat33.rcp;0;0;63;6;2722260;63;1;3600120;0;0;0;22;160;30;1,767;0,177;0,069;0,222;0,063;0,333;0,315;4;0,750;3,000;0,074;0,400;0;0,000;0,000;0,000;0,000;1,000
34;Set 1\Pat34.rcp;0;0;76;4;65020;76;4;65020;76;4;65020;21;191;30;1,700;0,175;0,069;0,333;0,102;0,636;0,352;4;0,750;3,000;0,056;0,400;0;0,000;0,000;0,000;0,000;1,000
35;Set 1\Pat35.rcp;0;0;62;1;43910;62;1;43910;62;1;43910;20;158;30;2,167;0,205;0,069;0,222;0,136;0,510;0,278;4;0,750;3,000;0,065;0,400;0;0,000;0,000;0,000;0,000;1,000
36;Set 1\Pat36.rcp;0;0;62;1;7700;62;1;7700;62;1;7700;24;147;30;2,267;0,232;0,069;0,278;0,157;0,681;0,148;4;0,750;3,000;0,048;0,400;0;0,000;0,000;0,000;0,000;1,000
37;Set 1\Pat37.rcp;0;0;65;1;883400;65;1;883400;65;1;883400;25;172;30;1,567;0,179;0,069;0,333;0,109;0,880;0,296;4;0,750;3,000;0,076;0,400;0;0,000;0,000;0,000;0,000;1,000
38;Set 1\Pat38.rcp;0;0;68;1;12220;68;1;12220;68;1;12220;27;172;30;1,600;0,191;0,069;0,111;0,113;0,815;0,093;4;0,750;3,000;0,064;0,400;0;0,000;0,000;0,000;0,000;1,000
39;Set 1\Pat39.rcp;0;0;52;6;72000660;55;6;700;0;0;0;20;157;30;0,567;0,090;0,069;0,667;0,022;0,333;0,722;4;0,750;3,000;0,048;0,400;0;0,000;0,000;0,000;0,000;1,000
40;Set 1\Pat40.rcp;0;0;78;6;62140970;78;1;3600080;0;0;0;27;197;30;1,133;0,131;0,069;0,389;0,064;0,571;0,481;4;0,750;3,000;0,060;0,400;0;0,000;0,000;0,000;0,000;1,000
41;Set 1\Pat41.rcp;0;0;67;1;955910;67;1;955910;67;1;955910;28;157;30;1,700;0,182;0,069;0,278;0,122;0,781;0,407;4;0,750;3,000;0,041;0,400;0;0,000;0,000;0,000;0,000;1,000
42;Set 1\Pat42.rcp;0;0;67;6;72000470;73;3;80;0;0;0;19;172;30;1,133;0,115;0,069;0,500;0,112;1,000;0,574;4;0,750;3,000;0,071;0,400;0;0,000;0,000;0,000;0,000;1,000
43;Set 1\Pat43.rcp;0;0;67;4;3266750;67;1;3600160;67;4;3266750;22;160;30;1,167;0,131;0,069;0,389;0,063;0,684;0,426;4;0,750;3,000;0,065;0,400;0;0,000;0,000;0,000;0,000;1,000
44;Set 1\Pat44.rcp;0;0;54;5;21000010;58;1;3600030;0;0;0;18;149;30;1,267;0,124;0,069;0,611;0,156;0,897;0,593;4;0,750;3,000;0,050;0,400;0;0,000;0,000;0,000;0,000;1,000
45;Set 1\Pat45.rcp;0;0;67;6;72000000;69;6;70;0;0;0;20;182;30;1,200;0,131;0,069;0,389;0,107;0,870;0,463;4;0,750;3,000;0,086;0,400;0;0,000;0,000;0,000;0,000;1,000
46;Set 1\Pat46.rcp;0;0;64;6;466060;64;1;3600050;0;0;0;19;151;30;1,400;0,152;0,069;0,333;0,088;0,630;0,426;4;0,750;3,000;0,050;0,400;0;0,000;0,000;0,000;0,000;1,000
47;Set 1\Pat47.rcp;0;0;66;4;3600020;71;1;3600100;0;0;0;25;174;30;2,167;0,177;0,069;0,611;0,237;0,643;0,426;4;0,750;3,000;0,054;0,400;0;0,000;0,000;0,000;0,000;1,000
48;Set 1\Pat48.rcp;0;0;66;6;195630;66;1;3600160;0;0;0;26;170;30;1,967;0,211;0,069;0,111;0,064;0,324;0,130;4;0,750;3,000;0,069;0,400;0;0,000;0,000;0,000;0,000;1,000
49;Set 1\Pat49.rcp;0;0;67;1;11870;67;1;11870;67;1;11870;26;167;30;1,833;0,207;0,069;0,278;0,114;0,564;0,296;4;0,750;3,000;0,079;0,400;0;0,000;0,000;0,000;0,000;1,000
50;Set 1\Pat50.rcp;0;0;72;6;72000260;73;1;3600010;0;0;0;19;182;30;1,200;0,136;0,069;0,222;0,043;0,400;0,407;4;0,750;3,000;0,068;0,400;0;0,000;0,000;0,000;0,000;1,000
51;Set 1\Pat51.rcp;0;0;56;4;3600010;59;3;80;0;0;0;16;161;30;0,667;0,083;0,069;0,611;0,018;0,273;0,630;4;0,750;3,000;0,034;0,400;0;0,000;0,000;0,000;0,000;1,000
52;Set 1\Pat52.rcp;0;0;67;1;530;67;1;530;67;1;530;24;150;30;2,767;0,497;0,069;0,278;0,445;0,721;0,000;4;0,750;3,000;0,062;0,400;0;0,000;0,000;0,000;0,000;1,000
53;Set 1\Pat53.rcp;0;0;59;6;72000400;60;1;3600030;0;0;0;20;157;30;0,400;0,080;0,069;0,667;0,013;0,500;0,778;4;0,750;3,000;0,018;0,400;0;0,000;0,000;0,000;0,000;1,000
54;Set 1\Pat54.rcp;0;0;71;4;129220;71;1;3600080;71;4;129220;28;171;30;1,900;0,205;0,069;0,222;0,141;0,634;0,222;4;0,750;3,000;0,064;0,400;0;0,000;0,000;0,000;0,000;1,000
55;Set 1\Pat55.rcp;0;0;74;4;3600020;76;3;80;0;0;0;18;180;30;1,033;0,122;0,069;0,389;0,040;0,500;0,556;4;0,750;3,000;0,044;0,400;0;0,000;0,000;0,000;0,000;1,000
56;Set 1\Pat56.rcp;0;0;57;6;72000480;58;3;6000;0;0;0;20;158;30;0,667;0,094;0,069;0,500;0,022;0,444;0,630;4;0,750;3,000;0,041;0,400;0;0,000;0,000;0,000;0,000;1,000
57;Set 1\Pat57.rcp;0;0;72;1;320950;72;1;320950;72;1;320950;27;193;30;1,667;0,170;0,069;0,333;0,080;0,471;0,296;4;0,750;3,000;0,080;0,400;0;0,000;0,000;0,000;0,000;1,000
58;Set 1\Pat58.rcp;0;0;51;4;3600020;54;3;650;0;0;0;14;133;30;0,233;0,076;0,069;0,833;0,000;0,000;0,852;4;0,750;3,000;0,044;0,400;0;0,000;0,000;0,000;0,000;1,000
59;Set 1\Pat59.rcp;0;0;63;1;5720;63;1;5720;63;1;5720;26;152;30;2,233;0,244;0,069;0,056;0,138;0,521;0,111;4;0,750;3,000;0,069;0,400;0;0,000;0,000;0,000;0,000;1,000
60;Set 1\Pat60.rcp;0;0;58;1;2191360;58;1;2191360;58;1;2191360;15;151;30;0,667;0,094;0,069;0,444;0,030;1,000;0,593;4;0,750;3,000;0,056;0,400;0;0,000;0,000;0,000;0,000;1,000
61;Set 1\Pat61.rcp;0;0;63;4;3600020;65;3;660;0;0;0;20;153;30;1,533;0,163;0,069;0,333;0,102;0,594;0,370;4;0,750;3,000;0,069;0,400;0;0,000;0,000;0,000;0,000;1,000
62;Set 1\Pat62.rcp;0;0;61;6;4115070;61;3;6000;0;0;0;24;156;30;1,800;0,189;0,069;0,278;0,069;0,308;0,296;4;0,750;3,000;0,075;0,400;0;0,000;0,000;0,000;0,000;1,000
63;Set 1\Pat63.rcp;0;0;65;6;72000190;66;1;3600130;0;0;0;25;168;30;1,700;0,182;0,069;0,167;0,066;0,353;0,278;4;0,750;3,000;0,066;0,400;0;0,000;0,000;0,000;0,000;1,000
64;Set 1\Pat64.rcp;0;0;59;6;72000320;59;3;6000;0;0;0;20;154;30;1,467;0,143;0,069;0,500;0,120;0,862;0,556;4;0,750;3,000;0,097;0,400;0;0,000;0,000;0,000;0,000;1,000
65;Set 1\Pat65.rcp;0;0;67;1;7590;67;1;7590;67;1;7590;23;160;30;1,567;0,166;0,069;0,333;0,095;0,613;0,352;4;0,750;3,000;0,057;0,400;0;0,000;0,000;0,000;0,000;1,000
66;Set 1\Pat66.rcp;0;0;65;6;72000230;66;1;3600070;0;0;0;26;179;30;0,733;0,099;0,069;0,500;0,022;0,364;0,648;4;0,750;3,000;0,041;0,400;0;0,000;0,000;0,000;0,000;1,000
67;Set 1\Pat67.rcp;0;0;65;6;72000240;66;6;710;0;0;0;18;173;30;0,900;0,106;0,069;0,444;0,046;0,643;0,556;4;0,750;3,000;0,059;0,400;0;0,000;0,000;0,000;0,000;1,000
68;Set 1\Pat68.rcp;0;0;53;5;21000010;54;1;3600140;0;0;0;19;158;30;0,633;0,090;0,069;0,611;0,042;0,700;0,667;4;0,750;3,000;0,030;0,400;0;0,000;0,000;0,000;0,000;1,000
69;Set 1\Pat69.rcp;0;0;61;1;3468170;61;1;3468170;61;1;3468170;23;165;30;1,867;0,177;0,069;0,278;0,088;0,425;0,296;4;0,750;3,000;0,063;0,400;0;0,000;0,000;0,000;0,000;1,000
70;Set 1\Pat70.rcp;0;0;56;6;72000530;58;3;80;0;0;0;20;155;30;0,400;0,085;0,069;0,556;0,011;1,000;0,778;4;0,750;3,000;0,039;0,400;0;0,000;0,000;0,000;0,000;1,000
71;Set 1\Pat71.rcp;0;0;74;6;21295280;74;3;70;0;0;0;24;189;30;2,100;0,202;0,069;0,222;0,099;0,476;0,259;4;0,750;3,000;0,058;0,400;0;0,000;0,000;0,000;0,000;1,000
72;Set 1\Pat72.rcp;0;0;66;1;1690210;66;1;1690210;66;1;1690210;16;172;30;0,467;0,083;0,069;0,667;0,033;0,833;0,759;4;0,750;3,000;0,036;0,400;0;0,000;0,000;0,000;0,000;1,000
73;Set 1\Pat73.rcp;0;0;65;1;1320;65;1;1320;65;1;1320;28;158;30;2,600;0,269;0,069;0,056;0,155;0,475;0,093;4;0,750;3,000;0,109;0,400;0;0,000;0,000;0,000;0,000;1,000
74;Set 1\Pat74.rcp;0;0;64;6;72000340;65;3;6000;0;0;0;20;170;30;1,367;0,145;0,069;0,500;0,112;1,000;0,556;4;0,750;3,000;0,052;0,400;0;0,000;0,000;0,000;0,000;1,000
75;Set 1\Pat75.rcp;0;0;84;1;416260;84;1;416260;84;1;416260;26;197;30;2,433;0,370;0,069;0,333;0,188;0,520;0,074;4;0,750;3,000;0,096;0,400;0;0,000;0,000;0,000;0,000;1,000
76;Set 1\Pat76.rcp;0;0;58;1;125550;58;1;125550;58;1;125550;20;155;30;1,067;0,131;0,069;0,389;0,064;0,632;0,407;4;0,750;3,000;0,034;0,400;0;0,000;0,000;0,000;0,000;1,000
77;Set 1\Pat77.rcp;0;0;64;6;43247320;64;1;3600040;0;0;0;21;169;30;1,333;0,136;0,069;0,278;0,046;0,320;0,296;4;0,750;3,000;0,073;0,400;0;0,000;0,000;0,000;0,000;1,000
78;Set 1\Pat78.rcp;0;0;65;4;3600020;66;1;3600180;0;0;0;23;180;30;1,367;0,145;0,069;0,333;0,063;0,407;0,389;4;0,750;3,000;0,073;0,400;0;0,000;0,000;0,000;0,000;1,000
79;Set 1\Pat79.rcp;0;0;69;6;2341360;69;6;2341360;69;6;2341360;26;172;30;1,933;0,209;0,069;0,278;0,143;0,725;0,241;4;0,750;3,000;0,086;0,400;0;0,000;0,000;0,000;0,000;1,000
80;Set 1\Pat80.rcp;0;0;68;6;4666470;68;1;3600140;0;0;0;17;162;30;1,300;0,140;0,069;0,389;0,077;0,727;0,463;4;0,750;3,000;0,053;0,400;0;0,000;0,000;0,000;0,000;1,000
81;Set 1\Pat81.rcp;0;0;69;6;72000390;71;3;6000;0;0;0;16;186;30;0,333;0,083;0,069;0,611;0,000;0,000;0,778;4;0,750;3,000;0,051;0,400;0;0,000;0,000;0,000;0,000;1,000
82;Set 1\Pat82.rcp;0;0;77;6;22929780;77;3;70;0;0;0;26;194;30;1,900;0,211;0,069;0,222;0,095;0,559;0,222;4;0,750;3,000;0,048;0,400;0;0,000;0,000;0,000;0,000;1,000
83;Set 1\Pat83.rcp;0;0;63;4;72070;63;4;72070;63;4;72070;23;166;30;1,733;0,168;0,069;0,389;0,137;0,778;0,370;4;0,750;3,000;0,054;0,400;0;0,000;0,000;0,000;0,000;1,000
84;Set 1\Pat84.rcp;0;0;65;4;3600010;66;3;70;0;0;0;26;161;30;4,000;0,333;0,069;0,556;0,548;1,000;0,019;4;0,750;3,000;0,042;0,400;0;0,000;0,000;0,000;0,000;1,000
85;Set 1\Pat85.rcp;0;0;55;6;72000480;57;3;60;0;0;0;24;160;30;0,367;0,074;0,069;0,556;0,006;1,000;0,704;4;0,750;3,000;0,041;0,400;0;0,000;0,000;0,000;0,000;1,000
86;Set 1\Pat86.rcp;0;0;61;6;72000360;64;3;6000;0;0;0;15;164;30;0,533;0,080;0,069;0,722;0,051;0,778;0,722;4;0,750;3,000;0,014;0,400;0;0,000;0,000;0,000;0,000;1,000
87;Set 1\Pat87.rcp;0;0;63;6;829350;63;1;3600050;0;0;0;26;152;30;1,733;0,182;0,069;0,333;0,099;0,421;0,204;4;0,750;3,000;0,041;0,400;0;0,000;0,000;0,000;0,000;1,000
88;Set 1\Pat88.rcp;0;0;61;6;72000500;61;3;70;0;0;0;20;154;30;0,867;0,113;0,069;0,389;0,030;0,545;0,537;4;0,750;3,000;0,044;0,400;0;0,000;0,000;0,000;0,000;1,000
89;Set 1\Pat89.rcp;0;0;64;1;808130;64;1;808130;64;1;808130;18;166;30;1,167;0,120;0,069;0,444;0,077;0,889;0,444;4;0,750;3,000;0,048;0,400;0;0,000;0,000;0,000;0,000;1,000
90;Set 1\Pat90.rcp;0;0;61;1;6640;61;1;6640;61;1;6640;25;164;30;2,533;0,232;0,069;0,222;0,168;0,596;0,185;4;0,750;3,000;0,072;0,400;0;0,000;0,000;0,000;0,000;1,000
91;Set 1\Pat91.rcp;0;0;58;1;55510;58;1;55510;58;1;55510;17;142;30;1,100;0,126;0,069;0,444;0,090;0,810;0,463;4;0,750;3,000;0,052;0,400;0;0,000;0,000;0,000;0,000;1,000
92;Set 1\Pat92.rcp;0;0;63;4;1689700;63;1;3600070;63;4;1689700;21;160;30;2,300;0,223;0,069;0,167;0,094;0,288;0,167;4;0,750;3,000;0,036;0,400;0;0,000;0,000;0,000;0,000;1,000
93;Set 1\Pat93.rcp;0;0;65;1;18490;65;1;18490;65;1;18490;18;169;30;2,100;0,186;0,069;0,389;0,135;0,609;0,426;4;0,750;3,000;0,056;0,400;0;0,000;0,000;0,000;0,000;1,000
94;Set 1\Pat94.rcp;0;0;64;4;3600010;64;6;22542490;64;6;22542490;20;181;30;1,100;0,120;0,069;0,444;0,080;0,714;0,537;4;0,750;3,000;0,053;0,400;0;0,000;0,000;0,000;0,000;1,000
95;Set 1\Pat95.rcp;0;0;72;1;9970;72;1;9970;72;1;9970;29;189;30;1,500;0,168;0,069;0,278;0,098;0,655;0,296;4;0,750;3,000;0,057;0,400;0;0,000;0,000;0,000;0,000;1,000
96;Set 1\Pat96.rcp;0;0;75;1;1820;75;1;1820;75;1;1820;29;173;30;5,500;0,563;0,069;0,278;0,811;1,000;0,000;4;0,750;3,000;0,056;0,400;0;0,000;0,000;0,000;0,000;1,000
97;Set 1\Pat97.rcp;0;0;58;4;3600020;60;3;690;0;0;0;19;166;30;0,700;0,092;0,069;0,611;0,048;0,667;0,685;4;0,750;3,000;0,018;0,400;0;0,000;0,000;0,000;0,000;1,000
98;Set 1\Pat98.rcp;0;0;62;6;72000210;63;3;6000;0;0;0;25;157;30;1,600;0,166;0,069;0,333;0,068;0,294;0,278;4;0,750;3,000;0,043;0,400;0;0,000;0,000;0,000;0,000;1,000
99;Set 1\Pat99.rcp;0;0;74;1;1330;74;1;1330;74;1;1330;30;173;30;5,367;0,554;0,069;0,278;0,789;1,000;0,000;4;0,750;3,000;0,078;0,400;0;0,000;0,000;0,000;0,000;1,000
100;Set 1\Pat100.rcp;0;0;75;4;51110;75;1;3600060;75;4;51110;27;166;30;6,467;0,501;0,069;0,556;0,966;1,000;0,000;4;0,750;3,000;0,054;0,400;0;0,000;0,000;0,000;0,000;1,000
101;Set 1\Pat101.rcp;0;0;64;1;251850;64;1;251850;64;1;251850;26;155;30;1,433;0,177;0,172;0,600;0,073;0,786;0,717;4;0,750;3,000;0,064;0,400;0;0,000;0,000;0,000;0,000;1,000
102;Set 1\Pat102.rcp;0;0;69;1;6110;69;1;6110;69;1;6110;31;170;30;1,667;0,251;0,172;0,400;0,076;0,667;0,558;4;0,750;3,000;0,078;0,400;0;0,000;0,000;0,000;0,000;1,000
103;Set 1\Pat103.rcp;0;0;84;1;160;84;1;160;84;1;160;46;172;30;2,533;0,605;0,172;0,150;0,264;0,850;0,067;4;0,750;3,000;0,136;0,400;0;0,000;0,000;0,000;0,000;1,000
104;Set 1\Pat104.rcp;0;0;69;1;980;69;1;980;69;1;980;40;171;30;1,800;0,283;0,172;0,250;0,041;0,642;0,492;4;0,750;3,000;0,078;0,400;0;0,000;0,000;0,000;0,000;1,000
105;Set 1\Pat105.rcp;0;0;76;1;25220;76;1;25220;76;1;25220;25;179;30;1,933;0,223;0,172;0,500;0,113;0,744;0,667;4;0,750;3,000;0,091;0,400;0;0,000;0,000;0,000;0,000;1,000
106;Set 1\Pat106.rcp;0;0;80;1;220;80;1;220;80;1;220;39;177;30;2,100;0,483;0,172;0,100;0,188;0,724;0,242;4;0,750;3,000;0,086;0,400;0;0,000;0,000;0,000;0,000;1,000
107;Set 1\Pat107.rcp;0;0;72;1;1070;72;1;1070;72;1;1070;34;175;30;2,200;0,294;0,172;0,350;0,058;0,641;0,500;4;0,750;3,000;0,095;0,400;0;0,000;0,000;0,000;0,000;1,000
108;Set 1\Pat108.rcp;0;0;64;1;1290;64;1;1290;64;1;1290;36;160;30;1,833;0,257;0,172;0,300;0,055;0,576;0,517;4;0,750;3,000;0,105;0,400;0;0,000;0,000;0,000;0,000;1,000
109;Set 1\Pat109.rcp;0;0;76;1;40;76;1;40;76;1;40;45;176;30;2,800;0,536;0,172;0,150;0,185;0,763;0,150;4;0,750;3,000;0,093;0,400;0;0,000;0,000;0,000;0,000;1,000
110;Set 1\Pat110.rcp;0;0;65;1;10;65;1;10;65;1;10;33;149;30;2,267;0,455;0,172;0,150;0,138;0,707;0,258;4;0,750;3,000;0,077;0,400;0;0,000;0,000;0,000;0,000;1,000
111;Set 1\Pat111.rcp;0;0;58;4;122750;58;1;3600010;58;4;122750;36;148;30;1,667;0,237;0,172;0,500;0,049;0,602;0,558;4;0,750;3,000;0,113;0,400;0;0,000;0,000;0,000;0,000;1,000
112;Set 1\Pat112.rcp;0;0;69;1;2710;69;1;2710;69;1;2710;44;164;30;1,500;0,218;0,172;0,550;0,074;0,683;0,633;4;0,750;3,000;0,063;0,400;0;0,000;0,000;0,000;0,000;1,000
113;Set 1\Pat113.rcp;0;0;70;6;12738080;70;3;60;0;0;0;45;189;30;0,767;0,149;0,172;0,500;0,050;0,906;0,708;4;0,750;3,000;0,076;0,400;0;0,000;0,000;0,000;0,000;1,000
114;Set 1\Pat114.rcp;0;0;63;1;3480;63;1;3480;63;1;3480;36;155;30;2,133;0,308;0,172;0,300;0,078;0,689;0,450;4;0,750;3,000;0,071;0,400;0;0,000;0,000;0,000;0,000;1,000
115;Set 1\Pat115.rcp;0;0;73;1;1300;73;1;1300;73;1;1300;44;164;30;2,000;0,391;0,172;0,200;0,103;0,764;0,300;4;0,750;3,000;0,103;0,400;0;0,000;0,000;0,000;0,000;1,000
116;Set 1\Pat116.rcp;0;0;73;1;491200;73;1;491200;73;1;491200;36;191;30;1,833;0,260;0,172;0,650;0,128;0,684;0,558;4;0,750;3,000;0,080;0,400;0;0,000;0,000;0,000;0,000;1,000
117;Set 1\Pat117.rcp;0;0;67;6;36632850;67;6;690;0;0;0;26;171;30;1,133;0,193;0,172;0,500;0,026;0,632;0,692;4;0,750;3,000;0,058;0,400;0;0,000;0,000;0,000;0,000;1,000
