Title;DC2
Description;Dataset proposed in the paper Vanhoucke, M., Coelho, J., and Batselier, J. (2016). An overview of project data for integrated project management and control. Journal of Modern Project Management, 3(2):6–21.
Number;720
Format;rcp
ID;Ref1;Ref2;Ref3;LB value;LB ref;LB time;UB value;UB ref;UB time;OPT value;OPT ref;OPT time;CPM;Sum PT;# Act;CNC;OS;SP/I2;AD/I3;LA/I4;I5;TF/I6;# RR;RF/RR;RU/RR;RS/RR;RC/RR;# NR;RF/NR;RU/NR;RS/NR;RC/NR;# Modes
61;npv25\rcpspdc61.rcp;0;0;26;CPM;0;26;1;0;26;1;0;26;118;25;2,560;0,520;0,208;0,284;0,132;0,711;0,337;4;0,500;2,000;0,717;0,246;0;0,000;0,000;0,000;0,000;1,000
62;npv25\rcpspdc62.rcp;0;0;35;CPM;0;35;1;0;35;1;0;35;124;25;2,560;0,520;0,167;0,125;0,193;0,711;0,113;4;0,500;2,000;0,782;0,248;0;0,000;0,000;0,000;0,000;1,000
63;npv25\rcpspdc63.rcp;0;0;32;CPM;0;32;1;0;32;1;0;32;116;25;2,800;0,517;0,167;0,188;0,171;0,641;0,138;4;0,500;2,000;0,825;0,248;0;0,000;0,000;0,000;0,000;1,000
64;npv25\rcpspdc64.rcp;0;0;35;CPM;0;35;1;0;35;1;0;35;123;25;2,520;0,523;0,208;0,158;0,095;0,686;0,295;4;0,500;2,000;0,889;0,248;0;0,000;0,000;0,000;0,000;1,000
65;npv25\rcpspdc65.rcp;0;0;48;CPM;0;48;1;0;48;1;0;48;146;25;2,320;0,517;0,208;0,105;0,164;0,711;0,211;4;0,500;2,000;0,845;0,246;0;0,000;0,000;0,000;0,000;1,000
66;npv25\rcpspdc66.rcp;0;0;49;CPM;0;49;1;0;49;1;0;49;142;25;2,240;0,513;0,250;0,306;0,127;0,766;0,194;4;0,500;2,000;0,964;0,250;0;0,000;0,000;0,000;0,000;1,000
67;npv25\rcpspdc67.rcp;0;0;30;CPM;0;30;1;0;30;1;0;30;105;25;2,760;0,520;0,208;0,211;0,115;0,691;0,200;4;0,500;2,000;0,644;0,248;0;0,000;0,000;0,000;0,000;1,000
68;npv25\rcpspdc68.rcp;0;0;40;CPM;0;40;1;0;40;1;0;40;143;25;2,720;0,510;0,208;0,284;0,159;0,740;0,242;4;0,500;2,000;0,732;0,248;0;0,000;0,000;0,000;0,000;1,000
69;npv25\rcpspdc69.rcp;0;0;48;CPM;0;48;1;0;48;1;0;48;148;25;2,640;0,520;0,208;0,347;0,240;0,778;0,232;4;0,500;2,000;0,716;0,248;0;0,000;0,000;0,000;0,000;1,000
70;npv25\rcpspdc70.rcp;0;0;37;CPM;0;37;1;0;37;1;0;37;115;25;2,320;0,520;0,208;0,232;0,183;0,675;0,295;4;0,500;2,000;0,763;0,248;0;0,000;0,000;0,000;0,000;1,000
71;npv25\rcpspdc71.rcp;0;0;69;1;10;69;1;10;69;1;10;42;156;25;2,360;0,523;0,208;0,347;0,167;0,659;0,221;4;0,500;2,000;0,051;0,500;0;0,000;0,000;0,000;0,000;1,000
72;npv25\rcpspdc72.rcp;0;0;78;1;10;78;1;10;78;1;10;38;158;25;2,280;0,527;0,167;0,125;0,105;0,685;0,125;4;0,500;2,000;0,120;0,500;0;0,000;0,000;0,000;0,000;1,000
73;npv25\rcpspdc73.rcp;0;0;48;1;10;48;1;10;48;1;10;33;121;25;2,360;0,513;0,250;0,306;0,075;0,700;0,287;4;0,500;2,000;0,060;0,500;0;0,000;0,000;0,000;0,000;1,000
74;npv25\rcpspdc74.rcp;0;0;73;1;0;73;1;0;73;1;0;38;156;25;2,720;0,527;0,167;0,312;0,260;0,823;0,200;4;0,500;2,000;0,050;0,500;0;0,000;0,000;0,000;0,000;1,000
75;npv25\rcpspdc75.rcp;0;0;55;1;0;55;1;0;55;1;0;36;126;25;2,080;0,523;0,208;0,284;0,154;0,728;0,284;4;0,500;2,000;0,201;0,500;0;0,000;0,000;0,000;0,000;1,000
76;npv25\rcpspdc76.rcp;0;0;57;1;0;57;1;0;57;1;0;32;127;25;2,840;0,520;0,167;0,188;0,208;0,699;0,200;4;0,500;2,000;0,134;0,500;0;0,000;0,000;0,000;0,000;1,000
77;npv25\rcpspdc77.rcp;0;0;81;1;0;81;1;0;81;1;0;40;147;25;2,200;0,520;0,208;0,168;0,045;0,632;0,242;4;0,500;2,000;0,121;0,500;0;0,000;0,000;0,000;0,000;1,000
78;npv25\rcpspdc78.rcp;0;0;63;1;0;63;1;0;63;1;0;29;121;25;2,640;0,520;0,125;0,095;0,336;0,883;0,032;4;0,500;2,000;0,085;0,500;0;0,000;0,000;0,000;0,000;1,000
79;npv25\rcpspdc79.rcp;0;0;61;1;10;61;1;10;61;1;10;33;139;25;2,600;0,520;0,167;0,125;0,218;0,716;0,175;4;0,500;2,000;0,062;0,500;0;0,000;0,000;0,000;0,000;1,000
80;npv25\rcpspdc80.rcp;0;0;66;1;0;66;1;0;66;1;0;33;122;25;2,720;0,520;0,208;0,400;0,226;0,832;0,263;4;0,500;2,000;0,062;0,500;0;0,000;0,000;0,000;0,000;1,000
81;npv25\rcpspdc81.rcp;0;0;94;1;0;94;1;0;94;1;0;33;130;25;2,680;0,520;0,167;0,250;0,235;0,740;0,200;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
82;npv25\rcpspdc82.rcp;0;0;87;1;0;87;1;0;87;1;0;40;136;25;2,360;0,520;0,250;0,407;0,165;0,828;0,296;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
83;npv25\rcpspdc83.rcp;0;0;116;1;0;116;1;0;116;1;0;33;154;25;2,640;0,523;0,208;0,411;0,192;0,760;0,316;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
84;npv25\rcpspdc84.rcp;0;0;109;1;0;109;1;0;109;1;0;45;162;25;2,240;0,520;0,167;0,188;0,189;0,711;0,138;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
85;npv25\rcpspdc85.rcp;0;0;95;1;0;95;1;0;95;1;0;40;139;25;2,640;0,520;0,208;0,232;0,154;0,547;0,295;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
86;npv25\rcpspdc86.rcp;0;0;82;1;10;82;1;10;82;1;10;39;142;25;1,880;0,527;0,208;0,295;0,138;0,681;0,274;4;0,500;2,000;0,000;0,746;0;0,000;0,000;0,000;0,000;1,000
87;npv25\rcpspdc87.rcp;0;0;113;1;0;113;1;0;113;1;0;40;159;25;2,320;0,523;0,167;0,250;0,202;0,800;0,188;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
88;npv25\rcpspdc88.rcp;0;0;88;1;0;88;1;0;88;1;0;34;131;25;2,560;0,513;0,167;0,250;0,238;0,775;0,138;4;0,500;2,000;0,000;0,746;0;0,000;0,000;0,000;0,000;1,000
89;npv25\rcpspdc89.rcp;0;0;91;1;0;91;1;0;91;1;0;43;158;25;2,400;0,527;0,208;0,347;0,180;0,695;0,295;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
90;npv25\rcpspdc90.rcp;0;0;91;1;0;91;1;0;91;1;0;40;147;25;2,600;0,517;0,167;0,250;0,227;0,702;0,138;4;0,500;2,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
91;npv25\rcpspdc91.rcp;0;0;52;1;0;52;1;0;52;1;0;46;136;25;2,680;0,517;0,250;0,204;0,106;0,704;0,306;4;1,000;4,000;0,418;0,248;0;0,000;0,000;0,000;0,000;1,000
92;npv25\rcpspdc92.rcp;0;0;35;1;0;35;1;0;35;1;0;23;104;25;2,920;0,520;0,167;0,062;0,176;0,660;0,175;4;1,000;4,000;0,253;0,248;0;0,000;0,000;0,000;0,000;1,000
93;npv25\rcpspdc93.rcp;0;0;35;1;0;35;1;0;35;1;0;25;112;25;2,480;0,513;0,208;0,232;0,138;0,756;0,179;4;1,000;4,000;0,373;0,248;0;0,000;0,000;0,000;0,000;1,000
94;npv25\rcpspdc94.rcp;0;0;45;1;10;45;1;10;45;1;10;39;144;25;2,560;0,520;0,208;0,158;0,068;0,659;0,211;4;1,000;4,000;0,376;0,248;0;0,000;0,000;0,000;0,000;1,000
95;npv25\rcpspdc95.rcp;0;0;44;1;10;44;1;10;44;1;10;37;129;25;2,320;0,523;0,208;0,284;0,094;0,660;0,253;4;1,000;4,000;0,360;0,248;0;0,000;0,000;0,000;0,000;1,000
96;npv25\rcpspdc96.rcp;0;0;38;1;0;38;1;0;38;1;0;30;126;25;2,640;0,523;0,167;0,125;0,284;0,745;0,200;4;1,000;4,000;0,307;0,248;0;0,000;0,000;0,000;0,000;1,000
97;npv25\rcpspdc97.rcp;0;0;43;CPM;0;43;1;0;43;1;0;43;128;25;2,800;0,520;0,208;0,232;0,171;0,730;0,284;4;1,000;4,000;0,427;0,248;0;0,000;0,000;0,000;0,000;1,000
98;npv25\rcpspdc98.rcp;0;0;50;1;0;50;1;0;50;1;0;44;157;25;2,360;0,520;0,208;0,232;0,092;0,662;0,263;4;1,000;4,000;0,438;0,248;0;0,000;0,000;0,000;0,000;1,000
99;npv25\rcpspdc99.rcp;0;0;40;1;30;40;1;30;40;1;30;29;135;25;3,080;0,520;0,167;0,250;0,180;0,736;0,263;4;1,000;4,000;0,309;0,248;0;0,000;0,000;0,000;0,000;1,000
100;npv25\rcpspdc100.rcp;0;0;49;1;0;49;1;0;49;1;0;39;150;25;2,680;0,523;0,208;0,221;0,128;0,755;0,284;4;1,000;4,000;0,396;0,248;0;0,000;0,000;0,000;0,000;1,000
101;npv25\rcpspdc101.rcp;0;0;114;1;0;114;1;0;114;1;0;41;136;25;2,640;0,517;0,208;0,284;0,091;0,729;0,211;4;1,000;4,000;0,017;0,500;0;0,000;0,000;0,000;0,000;1,000
102;npv25\rcpspdc102.rcp;0;0;127;1;0;127;1;0;127;1;0;35;151;25;2,920;0,520;0,167;0,188;0,236;0,721;0,200;4;1,000;4,000;0,028;0,500;0;0,000;0,000;0,000;0,000;1,000
103;npv25\rcpspdc103.rcp;0;0;113;1;0;113;1;0;113;1;0;35;132;25;2,440;0,513;0,167;0,312;0,209;0,744;0,125;4;1,000;4,000;0,028;0,500;0;0,000;0,000;0,000;0,000;1,000
104;npv25\rcpspdc104.rcp;0;0;126;1;0;126;1;0;126;1;0;40;144;25;2,640;0,517;0,208;0,295;0,167;0,636;0,168;4;1,000;4,000;0,008;0,500;0;0,000;0,000;0,000;0,000;1,000
105;npv25\rcpspdc105.rcp;0;0;99;1;0;99;1;0;99;1;0;40;129;25;2,480;0,517;0,208;0,232;0,122;0,780;0,221;4;1,000;4,000;0,063;0,500;0;0,000;0,000;0,000;0,000;1,000
106;npv25\rcpspdc106.rcp;0;0;126;1;0;126;1;0;126;1;0;36;138;25;2,840;0,523;0,167;0,250;0,279;0,837;0,188;4;1,000;4,000;0,024;0,500;0;0,000;0,000;0,000;0,000;1,000
107;npv25\rcpspdc107.rcp;0;0;113;1;0;113;1;0;113;1;0;38;144;25;2,520;0,517;0,208;0,295;0,129;0,696;0,295;4;1,000;4,000;0,009;0,500;0;0,000;0,000;0,000;0,000;1,000
108;npv25\rcpspdc108.rcp;0;0;123;1;0;123;1;0;123;1;0;41;138;25;2,800;0,517;0,167;0,188;0,181;0,778;0,075;4;1,000;4,000;0,026;0,500;0;0,000;0,000;0,000;0,000;1,000
109;npv25\rcpspdc109.rcp;0;0;114;1;0;114;1;0;114;1;0;42;140;25;2,600;0,520;0,167;0,188;0,180;0,758;0,163;4;1,000;4,000;0,017;0,500;0;0,000;0,000;0,000;0,000;1,000
110;npv25\rcpspdc110.rcp;0;0;112;1;0;112;1;0;112;1;0;38;131;25;2,680;0,517;0,167;0,188;0,195;0,646;0,138;4;1,000;4,000;0,019;0,500;0;0,000;0,000;0,000;0,000;1,000
111;npv25\rcpspdc111.rcp;0;0;134;1;0;134;1;0;134;1;0;43;136;25;2,160;0,517;0,208;0,284;0,197;0,722;0,253;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
112;npv25\rcpspdc112.rcp;0;0;132;1;0;132;Sum PT;0;132;1;0;32;132;25;2,560;0,520;0,250;0,343;0,162;0,716;0,380;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
113;npv25\rcpspdc113.rcp;0;0;129;1;0;129;Sum PT;0;129;1;0;35;129;25;2,240;0,513;0,208;0,221;0,115;0,743;0,126;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
114;npv25\rcpspdc114.rcp;0;0;143;1;0;143;Sum PT;0;143;1;0;40;143;25;2,480;0,520;0,167;0,125;0,205;0,591;0,163;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
115;npv25\rcpspdc115.rcp;0;0;117;1;0;117;Sum PT;0;117;1;0;35;117;25;2,840;0,523;0,167;0,250;0,130;0,628;0,163;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
116;npv25\rcpspdc116.rcp;0;0;142;1;0;142;Sum PT;0;142;1;0;46;142;25;2,600;0,510;0,250;0,537;0,225;0,848;0,269;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
117;npv25\rcpspdc117.rcp;0;0;132;1;0;132;Sum PT;0;132;1;0;38;132;25;2,800;0,520;0,208;0,347;0,203;0,779;0,305;4;1,000;4,000;0,000;0,748;0;0,000;0,000;0,000;0,000;1,000
